job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
84577106,"Actuarial Audit, Manager",Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,8000-12000,Kuala Lumpur,Looking for an Actuarial Audit Manager ensures the accuracy and integrity of actuarial processes!,27-09-2024,https://my.jobstreet.com/job/84577106?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84588629,Electrician/A4 Chargeman,Jape Group Australia,,Kuala Lumpur,"Join Timor Plaza, Timor-Leste's leading property developer, through its electrifying growth!",28-09-2024,https://my.jobstreet.com/job/84588629?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84527422,"Assistant Manager, Customer Services",BE INTERNATIONAL MARKETING SDN. BHD.,,Kuala Lumpur,"Assist the Manager to overseeing and leading the delegated team, to ensure exceptional customer experiences.",26-09-2024,https://my.jobstreet.com/job/84527422?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Kuok Group Singapore,,Kuala Lumpur,"Leading end-to-end talent acquisition activities, while also providing HR business partnering support to align people strategies with business needs.",26-09-2024,,False,,,
,,Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,25000,Kuala Lumpur,Chemical Manufacturing Company (SSC) hiring O2C Senior Managers!,26-09-2024,,False,,,
84611875,Finance & Accounts Manager,ADASTRA IP (M) SDN. BHD.,8000-12000,"Bangsar, Kuala Lumpur","We are committed to fostering a professional, inclusive, and results-oriented work environment.",29-09-2024,https://my.jobstreet.com/job/84611875?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Midea Scott & English Electronics Sdn Bhd,10000-12000,Kuala Lumpur,* Competitive Remuneration Package * Career Advancement * Staff Purchase Privileges Global Finance (Overseas),27-09-2024,,False,,,
84570150,"Public Relations, SEA Group",Shopee Mobile Malaysia Sdn Bhd,,Kuala Lumpur,"Develop and execute communication strategies for major campaigns, product launches, or public affairs-led projects. Collaborate with brand,...",27-09-2024,https://my.jobstreet.com/job/84570150?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84537985,Corporate Finance Manager,British American Tobacco (Malaysia) Berhad (BATM),,"Kuala Lumpur City Centre, Kuala Lumpur",The incumbent of this role will be working in the Corporate Finance team for the APMEA – North business unit (Korea). This role sits within the...,26-09-2024,https://my.jobstreet.com/job/84537985?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,iFAST Corporation,,"Kuala Lumpur City Centre, Kuala Lumpur",We’re looking for candidate that is motivated to combine the art of design with the art of programming and is passionate in building top-notch...,26-09-2024,,False,,,
84533462,Business Development Manager (Freight Forwarding),ROHLIG MALAYSIA SDN. BHD.,,Kuala Lumpur,* Good Enviroment * Career Growth * Employee Benefits Work for corporations across a variety of industries to carry out tasks that support business growth.,26-09-2024,https://my.jobstreet.com/job/84533462?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Links International,,Kuala Lumpur,"* MNC culture, regional team, hybrid work from home * Competitive remuneration package, health benefits and other benefits * Regional exposure, career development, on-the-job training Due to our Company's expansion, we are looking for a high calibre Human Resources Executive to drive our Talent Acquisition and daily HR Operations in",28-09-2024,,False,,,
,,Private Advertiser,7000-9000,"Kuala Lumpur City Centre, Kuala Lumpur",Grow your HR career with Goodwill Entertainment in KL,26-09-2024,,False,,,
84602178,"Assistant Manager, Policy Servicing",Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,,Kuala Lumpur,A people manager role in policy servicing team for a life insurance business,28-09-2024,https://my.jobstreet.com/job/84602178?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84521151,Human Resource & Admin Manager,Health Lega (HQ) Sdn Bhd,6000-8000,"Kuchai Lama, Kuala Lumpur","* Attractive remuneration package * Impactful role * Good career development Oversee HR functions, manage recruitment, employee relations, compliance, and drive organizational development and culture initiatives.",25-09-2024,https://my.jobstreet.com/job/84521151?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84551595,Human Resource & Admin Manager,DCS Card Centre Pte. Ltd.,,Kuala Lumpur,The HR & Admin Manager plays a critical role in supporting business objectives by fostering a high-performance culture.,27-09-2024,https://my.jobstreet.com/job/84551595?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84514927,ARC Senior Analyst - Korean Speaking,BP Business Service Centre Asia Sdn Bhd,,"Bangsar South, Kuala Lumpur",The GA&R Senior Analyst is accountable in ensuring accurate and timely recording for AP/AR transactions,25-09-2024,https://my.jobstreet.com/job/84514927?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84558807,Unit Trust Consultant (Nationwide recruitment),Public Mutual Berhad,7000-10000,Kuala Lumpur,"* Extensive training and workshops * Free incentive travel * Passive income benefits, work life balance. What's the job like? Assist clients in investment planning and have a sustainable retirement by promoting Public Mutual unit trusts and PRS products.",27-09-2024,https://my.jobstreet.com/job/84558807?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84560613,Sales Specialist (Farmer),RHB Banking Group,,Kuala Lumpur,Enhance usage and promote cross-selling of TB products & services by existing customers,27-09-2024,https://my.jobstreet.com/job/84560613?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Yee Lee Marketing Sdn Bhd,,Kuala Lumpur,"* 1-month contractual bonus * We're a member of TCP Group, owner of Red Bull brand * Career development opportunities We’re looking for an experienced Asst HR Manager to lead the HR Ops of the Company",26-09-2024,,False,,,
84590943,"Manager/ AM, Agency Recruitment (Kuching/ Kota Kinabalu)",Agensi Pekerjaan Hays (Malaysia) Sdn Bhd,10000-14000,Kuala Lumpur,"Be Manager/ AM, Agency Recruitment position with a leading Life Insurance company, to be based in Klang Valley",28-09-2024,https://my.jobstreet.com/job/84590943?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84560590,Head of Restaurant Operations – Growth-Oriented F&B Brand,,8000-12000,Kuala Lumpur,"plays a key role in delivering operational discipline, brand consistency, and scalable restaurant systems.",27-09-2024,https://my.jobstreet.com/job/84560590?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84526468,Executive Assistant cum Human Resources Executive,aiMai Malaysia Sdn Bhd.,6000-9000,"Kuala Lumpur Sentral, Kuala Lumpur",Feel free to visit our websites https://www.aimai.ai/,25-09-2024,https://my.jobstreet.com/job/84526468?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84599749,"Assistant Manager, Record to Report",,,"Kuala Lumpur City Centre, Kuala Lumpur",Manage a Record to Report (R2R) team and oversee the Record to Report which specialized in Fixed Assets and Bank Reconciliation and Payroll. Ensure...,28-09-2024,https://my.jobstreet.com/job/84599749?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Global-Pacific Victory (M) Sdn Bhd,6000-9000,Kuala Lumpur,"Oversee finance operations, drive growth, and shape company's financial strategy at Kuala Lumpur office.",28-09-2024,,False,,,
84584817,Regional Sales Manager,FOUNTAIN OF YOUTH PTE LTD,13000-16000,"Bandar Malaysia, Kuala Lumpur",* Great Opportunities for Learning & Career Advancement * 5-day work week * Attractive & Competitive Salary RESPONSIBILITIES Sales & Marketing DevelopmentAchieve sales targets by developing new business with existing and potential clients.Take...,28-09-2024,https://my.jobstreet.com/job/84584817?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84541471,"Manager, Client Distribution",Alliance Bank Malaysia Berhad,,Kuala Lumpur,To cover all FX clients in the respective Businesses,26-09-2024,https://my.jobstreet.com/job/84541471?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84606167,Resident Medical Officer (Doctor),Mediverse Care Sdn Bhd,9000-12000,Kuala Lumpur,"Join our team today! Make a meaningful impact on patient care, enjoy excellent work-life balance, professional growth, and a supportive environment!",28-09-2024,https://my.jobstreet.com/job/84606167?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84532037,Butler cum Personal Assistant (with Company Secretary Qualification),BP Healthcare Group,10000-15000,Kuala Lumpur,"Seeking a professional to assist the CHAIRMAN as a Personal Assistant cum Butler, with added duties in corporate secretarial support.",26-09-2024,https://my.jobstreet.com/job/84532037?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84549723,Pharmacist (Nationwide),Big Pharmacy Healthcare Sdn Bhd,7000-9000,Kuala Lumpur,"Are you passionate in providing great customers’ experience and educating customers to “BeInGoodhealth”? If yes, join us and grow with our BIG family!",26-09-2024,https://my.jobstreet.com/job/84549723?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84599037,Fitness Coach/Personal Trainer,Anytime Fitness Trailblazers,7000-10000,Kuala Lumpur,"* Free Gym Membership * Medical Insurance Coverage & Dental Claims * Career Takeoff Join us to empower clients on their fitness journeys! Conduct health assessments, create personalized programs, and thrive in a supportive community.",28-09-2024,https://my.jobstreet.com/job/84599037?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,,,,,,,True,0.0,['error'],'list' object has no attribute 'usage'
,,,,,,,,True,0.0,['error'],'list' object has no attribute 'usage'
,,,,,,,,True,0.0,['error'],'list' object has no attribute 'usage'
