job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
84076104,Senior Project Manager,Private Advertiser,"RM 9,000 – RM 13,500 per month","Bangsar South, Kuala Lumpur",Senior Project Manager,29-05-2024,https://my.jobstreet.com/job/84076104?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84563252,Senior Flutter Developer,ALPHAWAVE INNOVATIONS SDN. BHD.,"RM 9,000 – RM 13,500 per month",Kuala Lumpur,"Seeking a highly skilled and experienced Senior Flutter Developer to lead the design and development of robust, high-quality mobile applications.",01-06-2024,https://my.jobstreet.com/job/84563252?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84551991,BUSINESS DEVELOPMENT MANAGER,Private Advertiser,"RM 8,000 – RM 10,000 per month","Mid Valley City, Kuala Lumpur",BUSINESS DEVELOPMENT MANAGER,02-06-2024,https://my.jobstreet.com/job/84551991?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,SNSOFT SDN. BHD.,,"Bangsar South, Kuala Lumpur",Benefits of this role: 13th Months Salary (upon Company Declaration) Project Incentive (upon Company Declaration based on project performance)...,01-06-2024,,False,,,
84584395,"Developer/Engineer (L3 Support - PowerShell, Python",LUXOFT MALAYSIA SDN. BHD.,"RM 12,000 – RM 15,000 per month",Kuala Lumpur,Provide application support to various business users.,02-06-2024,https://my.jobstreet.com/job/84584395?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84560817,Platform/Software Engineer,Big Corridor Sdn Bhd,"RM 8,000 – RM 10,000 per month","Kuala Lumpur City Centre, Kuala Lumpur",Allocate Space is now hiring a Platform/Software Engineer!,01-06-2024,https://my.jobstreet.com/job/84560817?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,VTECH GLOBAL PTE. LTD.,"RM 6,000 – RM 8,500 per month","Bangsar, Kuala Lumpur",Job title: Creative Art Director Industry: Fintech,04-06-2024,,False,,,
84593655,.NET Developer (Senior - Lead),Agensi Pekerjaan Randstad Sdn Bhd - Professional,"8,000-16,000",Kuala Lumpur,"Expert .NET developer leading teams, architecting scalable apps (C#, Azure, CI/CD), mentoring, optimizing performance, and driving innovation.",02-06-2024,https://my.jobstreet.com/job/84593655?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84078433,Business Development Manager,Private Advertiser,"RM 5,000 – RM 7,500 per month",Kuala Lumpur,Business Development Manager,29-05-2024,https://my.jobstreet.com/job/84078433?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84591015,Head of IT Client Service,Alliance Bank Malaysia Berhad,,"Kuala Lumpur City Centre, Kuala Lumpur","The Head of IT Client Service will oversee the development and execution of strategies for IT Network, User Endpoint & Devices & Database operations",02-06-2024,https://my.jobstreet.com/job/84591015?type=standard&ref=search-standalone&origin=cardTitle,False,,,
